Project_ID,Project_Name,Project_Manager,Team_Name,Department,Project_Type,Start_Date,End_Date,Planned_End_Date,Status,Priority,Budget,Actual_Cost,Progress_%,Risk_Level,Client,Team_Size,Delay_Days,Cost_Variance,Cost_Variance_%,Is_Delayed,Is_Over_Budget
PRJ0030,Mobile App - EdTech Client D #30,Arjun Nair,Falcon,Engineering,Mobile App,2024-10-22,2025-06-23,2025-06-30,Completed,Low,60580.77,58525.01,100.0,Low,EdTech Client D,4,0,-2055.7599999999948,-3.39,False,False
PRJ0031,API Integration - Healthcare Client C #31,Suresh Kumar,Zenith,Engineering,API Integration,2024-09-11,2025-02-27,2025-02-09,Delayed,Medium,49167.85,67575.64,100.0,Medium,Healthcare Client C,11,18,18407.79,37.44,True,True
PRJ0032,Web App - Retail Client B #32,Neha Kapoor,Quantum,Engineering,Web App,2023-09-11,2024-03-31,2024-04-09,Completed,High,237926.79,209791.77,100.0,Low,Retail Client B,10,0,-28135.02000000002,-11.83,False,False
PRJ0033,API Integration - Mobile Apps #33,Neha Kapoor,Pulsar,Mobile Apps,API Integration,2023-03-09,2023-06-27,2023-07-01,Completed,Medium,55332.62,55041.94,100.0,Low,Internal,4,0,-290.6800000000003,-0.53,False,False
PRJ0034,Data Pipeline - Fintech Client A #34,Arjun Nair,Nova,Customer Platforms,Data Pipeline,2023-12-25,2024-04-03,2024-04-12,Completed,Low,221845.51,220019.01,100.0,Medium,Fintech Client A,13,0,-1826.5,-0.82,False,False
PRJ0035,Internal Tool - Fintech Client A #35,Priya Menon,Pulsar,QA & Testing,Internal Tool,2024-06-04,2024-11-05,2024-10-04,Delayed,Low,28019.24,33250.23,100.0,High,Fintech Client A,3,32,5230.990000000002,18.67,True,True
PRJ0036,Mobile App - EdTech Client D #36,Rohit Sharma,Nova,Data & Analytics,Mobile App,2024-06-03,2025-01-16,2025-01-16,Completed,High,222285.32,218369.95,100.0,Low,EdTech Client D,11,0,-3915.3699999999953,-1.76,False,False
PRJ0037,Data Pipeline - Retail Client B #37,Priya Menon,Vega,AI/ML,Data Pipeline,2025-05-01,2025-11-17,2025-11-24,Completed,Low,230535.47,197969.68,100.0,Medium,Retail Client B,15,0,-32565.790000000008,-14.13,False,False
PRJ0038,ML Model - Govt Client G #38,Sneha Reddy,Nimbus,Mobile Apps,ML Model,2024-06-30,2024-09-26,2024-09-29,Completed,High,162461.06,150043.87,100.0,Medium,Govt Client G,7,0,-12417.190000000002,-7.64,False,False
PRJ0039,Data Pipeline - BFSI Client F #39,Divya Pillai,Titan,Mobile Apps,Data Pipeline,2025-04-16,2025-07-06,2025-07-06,Completed,High,223608.89,218742.22,100.0,Low,BFSI Client F,15,0,-4866.670000000013,-2.18,False,False
PRJ0040,Cloud Migration - Fintech Client A #40,Meera Krishnan,Aurora,Engineering,Cloud Migration,2023-03-27,2023-11-05,2023-11-07,Completed,Medium,36371.0,36960.55,100.0,Low,Fintech Client A,5,0,589.5500000000029,1.62,False,True
PRJ0041,Internal Tool - Customer Platforms #41,Arjun Nair,Zenith,Customer Platforms,Internal Tool,2023-02-24,2023-07-04,2023-07-05,Completed,Critical,105612.26,97689.5,100.0,Medium,Internal,8,0,-7922.759999999995,-7.5,False,False
PRJ0042,Data Pipeline - Logistics Client E #42,Neha Kapoor,Aurora,Customer Platforms,Data Pipeline,2023-05-21,2023-06-27,2023-06-29,Completed,Medium,154700.78,154974.33,100.0,Low,Logistics Client E,7,0,273.54999999998836,0.18,False,True
PRJ0043,Data Pipeline - Healthcare Client C #43,Sneha Reddy,Falcon,Engineering,Data Pipeline,2024-07-15,2025-04-07,2025-04-11,Completed,Medium,210059.39,188534.19,100.0,Low,Healthcare Client C,14,0,-21525.20000000001,-10.25,False,False
PRJ0044,Mobile App - Fintech Client A #44,Vikram Malhotra,Nimbus,QA & Testing,Mobile App,2025-05-06,,2026-01-22,In Progress,High,147249.98,168862.63,51.2,High,Fintech Client A,10,0,21612.649999999994,14.68,False,True
PRJ0045,Data Pipeline - BFSI Client F #45,Karthik Iyer,Pulsar,AI/ML,Data Pipeline,2024-11-11,2025-08-11,2025-05-31,Delayed,Critical,52160.58,66120.46,100.0,High,BFSI Client F,4,72,13959.880000000005,26.76,True,True
PRJ0046,Internal Tool - Engineering #46,Vikram Malhotra,Vega,Engineering,Internal Tool,2024-01-18,2024-04-16,2024-04-21,Completed,Low,19230.0,17272.87,100.0,Medium,Internal,14,0,-1957.130000000001,-10.18,False,False
PRJ0047,Web App - Retail Client B #47,Arjun Nair,Aurora,AI/ML,Web App,2023-12-27,2024-08-16,2024-06-13,Delayed,High,157685.63,227434.35,100.0,High,Retail Client B,8,64,69748.72,44.23,True,True
PRJ0048,Web App - Govt Client G #48,Aditya Verma,Orion,Data & Analytics,Web App,2023-10-28,2024-01-12,2024-01-17,Completed,High,57586.54,59698.48,100.0,Low,Govt Client G,3,0,2111.9400000000023,3.67,False,True
PRJ0049,ML Model - AI/ML #49,Sneha Reddy,Zenith,AI/ML,ML Model,2023-10-20,2024-02-14,2024-02-18,Completed,Medium,31492.39,27552.53,100.0,Low,Internal,15,0,-3939.8600000000006,-12.51,False,False
PRJ0050,Data Pipeline - Logistics Client E #50,Divya Pillai,Zenith,QA & Testing,Data Pipeline,2024-05-23,2024-12-12,2024-12-16,Completed,Low,94489.79,95456.38,100.0,Low,Logistics Client E,10,0,966.5900000000111,1.02,False,True
PRJ0051,API Integration - EdTech Client D #51,Meera Krishnan,Nova,AI/ML,API Integration,2023-04-16,2023-08-26,2023-06-05,Delayed,Low,129609.14,173295.87,100.0,Medium,EdTech Client D,8,82,43686.729999999996,33.71,True,True
PRJ0052,Internal Tool - Logistics Client E #52,Aditya Verma,Falcon,Mobile Apps,Internal Tool,2023-10-09,2024-07-14,2024-04-19,Delayed,Medium,342027.01,414702.31,100.0,Medium,Logistics Client E,15,86,72675.29999999999,21.25,True,True
PRJ0053,Web App - Govt Client G #53,Priya Menon,Falcon,Data & Analytics,Web App,2023-05-10,2023-08-19,2023-06-26,Delayed,Critical,113435.12,162188.04,100.0,Medium,Govt Client G,6,54,48752.92000000001,42.98,True,True
PRJ0054,Mobile App - Govt Client G #54,Arjun Nair,Pulsar,Mobile Apps,Mobile App,2024-08-10,2024-11-23,2024-10-14,Delayed,Medium,103838.34,119397.96,100.0,High,Govt Client G,11,40,15559.62000000001,14.98,True,True
PRJ0055,Cloud Migration - Fintech Client A #55,Divya Pillai,Quantum,Mobile Apps,Cloud Migration,2025-03-04,2025-06-04,2025-06-08,Completed,Medium,157699.94,155933.09,100.0,Low,Fintech Client A,14,0,-1766.8500000000058,-1.12,False,False
PRJ0056,Dashboard - Retail Client B #56,Vikram Malhotra,Orion,Data & Analytics,Dashboard,2023-03-31,2023-11-13,2023-11-23,Completed,Medium,302300.81,277961.08,100.0,Low,Retail Client B,13,0,-24339.72999999998,-8.05,False,False
PRJ0057,API Integration - Retail Client B #57,Aditya Verma,Nova,Cloud Infrastructure,API Integration,2024-06-04,2024-08-27,2024-08-30,Completed,Critical,94632.19,95396.31,100.0,Medium,Retail Client B,8,0,764.1199999999953,0.81,False,True
PRJ0058,Mobile App - Retail Client B #58,Meera Krishnan,Zenith,Cloud Infrastructure,Mobile App,2023-03-09,2023-06-18,2023-06-26,Completed,High,215916.17,201268.21,100.0,Medium,Retail Client B,9,0,-14647.960000000021,-6.78,False,False
PRJ0059,Dashboard - Fintech Client A #59,Neha Kapoor,Pulsar,Data & Analytics,Dashboard,2024-04-22,2024-11-04,2024-11-12,Completed,High,98162.24,95998.63,100.0,Low,Fintech Client A,11,0,-2163.6100000000006,-2.2,False,False
PRJ0060,Data Pipeline - Fintech Client A #60,Ananya Rao,Quantum,Mobile Apps,Data Pipeline,2023-11-08,2024-01-14,2024-01-19,Completed,Critical,42105.99,43769.03,100.0,Low,Fintech Client A,5,0,1663.0400000000009,3.95,False,True
PRJ0061,Data Pipeline - EdTech Client D #61,Karthik Iyer,Titan,Engineering,Data Pipeline,2024-10-02,2025-01-15,2025-01-17,Completed,High,159239.94,154201.86,100.0,Medium,EdTech Client D,12,0,-5038.080000000016,-3.16,False,False
PRJ0062,Web App - Logistics Client E #62,Suresh Kumar,Aurora,AI/ML,Web App,2025-04-25,,2026-01-01,In Progress,Medium,8604.38,4694.21,71.7,Low,Logistics Client E,3,0,-3910.169999999999,-45.44,False,False
PRJ0063,Cloud Migration - Govt Client G #63,Ananya Rao,Comet,AI/ML,Cloud Migration,2024-10-19,2025-01-28,2025-02-03,Completed,Medium,66321.92,60318.91,100.0,Low,Govt Client G,10,0,-6003.009999999995,-9.05,False,False
PRJ0064,ML Model - Govt Client G #64,Vikram Malhotra,Vega,Mobile Apps,ML Model,2023-12-15,2024-06-12,2024-06-17,Completed,High,40946.99,42792.67,100.0,Medium,Govt Client G,5,0,1845.6800000000003,4.51,False,True
PRJ0065,Dashboard - Healthcare Client C #65,Arjun Nair,Orion,AI/ML,Dashboard,2023-05-06,2023-09-23,2023-08-12,Delayed,Low,67021.34,95716.79,100.0,Medium,Healthcare Client C,10,42,28695.449999999997,42.82,True,True
PRJ0066,ML Model - Logistics Client E #66,Arjun Nair,Nova,Customer Platforms,ML Model,2025-02-20,2025-04-27,2025-05-01,Completed,Medium,239072.96,226993.57,100.0,Low,Logistics Client E,10,0,-12079.389999999985,-5.05,False,False
PRJ0067,Web App - Logistics Client E #67,Karthik Iyer,Atlas,Mobile Apps,Web App,2023-02-21,2023-05-24,2023-06-03,Completed,Low,147429.32,139190.58,100.0,Low,Logistics Client E,10,0,-8238.74000000002,-5.59,False,False
PRJ0068,Internal Tool - Logistics Client E #68,Sneha Reddy,Nova,Mobile Apps,Internal Tool,2024-01-10,2024-02-15,2024-02-20,Completed,Critical,19589.64,18818.68,100.0,Low,Logistics Client E,9,0,-770.9599999999991,-3.94,False,False
PRJ0069,Data Pipeline - Fintech Client A #69,Sneha Reddy,Quantum,Customer Platforms,Data Pipeline,2023-04-10,2023-10-08,2023-08-18,Delayed,Medium,154261.09,208558.84,100.0,High,Fintech Client A,8,51,54297.75,35.2,True,True
PRJ0070,Data Pipeline - AI/ML #70,Ananya Rao,Falcon,AI/ML,Data Pipeline,2024-12-31,2025-04-16,2025-04-25,Completed,Medium,178441.73,183549.86,100.0,High,Internal,15,0,5108.129999999976,2.86,False,True
PRJ0071,API Integration - EdTech Client D #71,Divya Pillai,Nova,Cloud Infrastructure,API Integration,2024-06-03,2025-01-27,2025-01-31,Completed,Critical,145681.98,137666.34,100.0,Low,EdTech Client D,8,0,-8015.640000000014,-5.5,False,False
PRJ0072,Web App - EdTech Client D #72,Suresh Kumar,Vega,Engineering,Web App,2024-09-03,2025-01-23,2025-02-01,Completed,Medium,162698.38,157089.66,100.0,Low,EdTech Client D,7,0,-5608.720000000001,-3.45,False,False
PRJ0073,Data Pipeline - BFSI Client F #73,Neha Kapoor,Quantum,Data & Analytics,Data Pipeline,2025-04-21,2025-11-10,2025-11-11,Completed,Medium,10356.73,9198.4,100.0,Low,BFSI Client F,6,0,-1158.33,-11.18,False,False
PRJ0074,Dashboard - BFSI Client F #74,Karthik Iyer,Aurora,Mobile Apps,Dashboard,2025-05-18,2026-01-22,2025-12-22,Delayed,High,34054.57,49353.56,79.6,High,BFSI Client F,14,31,15298.989999999998,44.92,True,True
PRJ0075,API Integration - Logistics Client E #75,Meera Krishnan,Zenith,Data & Analytics,API Integration,2024-11-23,2025-07-04,2025-07-08,Completed,Low,233200.18,226674.15,100.0,Low,Logistics Client E,14,0,-6526.029999999999,-2.8,False,False
PRJ0076,Cloud Migration - EdTech Client D #76,Karthik Iyer,Titan,AI/ML,Cloud Migration,2024-12-22,2025-05-03,2025-03-15,Delayed,Critical,241006.22,307088.93,100.0,Medium,EdTech Client D,14,49,66082.70999999999,27.42,True,True
PRJ0077,Internal Tool - BFSI Client F #77,Suresh Kumar,Orion,Cloud Infrastructure,Internal Tool,2025-04-18,2025-09-24,2025-08-14,Delayed,Low,292592.46,419029.12,100.0,Medium,BFSI Client F,15,41,126436.65999999997,43.21,True,True
PRJ0078,ML Model - Govt Client G #78,Aditya Verma,Titan,QA & Testing,ML Model,2023-07-26,2024-03-19,2024-03-23,Completed,Critical,79596.58,69842.38,100.0,Low,Govt Client G,11,0,-9754.199999999997,-12.25,False,False
PRJ0079,ML Model - Healthcare Client C #79,Neha Kapoor,Falcon,Data & Analytics,ML Model,2023-02-23,2023-04-09,2023-04-19,Completed,High,77370.78,77692.12,100.0,Medium,Healthcare Client C,9,0,321.3399999999965,0.42,False,True
PRJ0080,Dashboard - Govt Client G #80,Neha Kapoor,Vega,Data & Analytics,Dashboard,2024-10-28,2025-04-14,2025-01-17,Delayed,Medium,347550.34,373152.65,100.0,High,Govt Client G,15,87,25602.309999999998,7.37,True,True
PRJ0081,Data Pipeline - Data & Analytics #81,Aditya Verma,Quantum,Data & Analytics,Data Pipeline,2024-03-03,2025-01-07,2024-11-13,Delayed,Medium,112401.1,153448.21,100.0,Medium,Internal,5,55,41047.109999999986,36.52,True,True
PRJ0082,Cloud Migration - Customer Platforms #82,Ananya Rao,Titan,Customer Platforms,Cloud Migration,2024-08-04,2025-04-08,2025-02-04,Delayed,High,89417.85,129266.0,100.0,High,Internal,4,63,39848.149999999994,44.56,True,True
PRJ0083,ML Model - EdTech Client D #83,Vikram Malhotra,Quantum,Data & Analytics,ML Model,2025-04-08,2025-06-01,2025-06-05,Completed,Low,37898.94,37660.92,100.0,Medium,EdTech Client D,9,0,-238.02000000000407,-0.63,False,False
PRJ0084,Data Pipeline - Healthcare Client C #84,Neha Kapoor,Nimbus,Cloud Infrastructure,Data Pipeline,2024-09-17,2025-05-16,2025-05-24,Completed,Medium,281215.79,257477.05,100.0,Low,Healthcare Client C,13,0,-23738.73999999999,-8.44,False,False
PRJ0085,Web App - Healthcare Client C #85,Arjun Nair,Zenith,Data & Analytics,Web App,2023-09-25,2024-03-18,2024-01-31,Delayed,Low,67649.5,79202.57,100.0,Not Assessed,Healthcare Client C,6,47,11553.070000000007,17.08,True,True
PRJ0086,Web App - Healthcare Client C #86,Aditya Verma,Pulsar,QA & Testing,Web App,2024-11-14,2025-01-05,2025-01-13,Completed,High,80565.46,83354.73,100.0,Low,Healthcare Client C,10,0,2789.2699999999895,3.46,False,True
PRJ0087,API Integration - EdTech Client D #87,Neha Kapoor,Orion,QA & Testing,API Integration,2024-09-21,2024-12-09,2024-12-16,Completed,Medium,138115.75,138053.18,100.0,Low,EdTech Client D,6,0,-62.570000000006985,-0.05,False,False
PRJ0088,ML Model - Healthcare Client C #88,Meera Krishnan,Zenith,AI/ML,ML Model,2024-11-27,2025-09-08,2025-07-08,Delayed,High,252985.28,319082.55,100.0,Medium,Healthcare Client C,12,62,66097.26999999999,26.13,True,True
PRJ0089,Data Pipeline - Healthcare Client C #89,Meera Krishnan,Falcon,Engineering,Data Pipeline,2023-06-18,2023-09-30,2023-10-09,Completed,High,122785.66,116372.02,100.0,Low,Healthcare Client C,11,0,-6413.639999999999,-5.22,False,False
PRJ0090,Dashboard - BFSI Client F #90,Priya Menon,Zenith,Engineering,Dashboard,2024-07-31,2024-09-13,2024-09-13,Completed,Critical,127981.71,118919.29,100.0,Low,BFSI Client F,11,0,-9062.420000000013,-7.08,False,False
PRJ0091,API Integration - BFSI Client F #91,Ananya Rao,Orion,AI/ML,API Integration,2024-12-18,2025-02-01,2025-02-02,Completed,Medium,262513.29,274911.12,100.0,Low,BFSI Client F,11,0,12397.830000000016,4.72,False,True
PRJ0092,API Integration - BFSI Client F #92,Neha Kapoor,Nova,Data & Analytics,API Integration,2024-01-27,2024-06-09,2024-06-19,Completed,Critical,86758.63,88919.85,100.0,Medium,BFSI Client F,9,0,2161.220000000001,2.49,False,True
PRJ0093,Data Pipeline - BFSI Client F #93,Meera Krishnan,Nova,Engineering,Data Pipeline,2025-01-15,2025-04-05,2025-04-12,Completed,Medium,55176.38,54332.18,100.0,Medium,BFSI Client F,3,0,-844.1999999999971,-1.53,False,False
PRJ0094,API Integration - Govt Client G #94,Karthik Iyer,Atlas,Customer Platforms,API Integration,2023-06-08,2023-09-15,2023-09-16,Completed,High,135362.63,115930.44,100.0,Medium,Govt Client G,6,0,-19432.190000000002,-14.36,False,False
PRJ0095,Mobile App - Fintech Client A #95,Karthik Iyer,Atlas,Engineering,Mobile App,2024-08-31,2024-10-08,2024-10-08,Completed,Medium,147490.53,132586.14,100.0,Low,Fintech Client A,10,0,-14904.389999999985,-10.11,False,False
PRJ0096,Cloud Migration - Retail Client B #96,Ananya Rao,Atlas,AI/ML,Cloud Migration,2023-08-28,2024-04-12,2024-04-22,Completed,Low,199507.53,202236.09,100.0,Medium,Retail Client B,14,0,2728.5599999999977,1.37,False,True
PRJ0097,Cloud Migration - BFSI Client F #97,Karthik Iyer,Quantum,QA & Testing,Cloud Migration,2023-10-09,2023-11-21,2023-11-23,Completed,Critical,250975.62,244751.08,100.0,Medium,BFSI Client F,11,0,-6224.540000000008,-2.48,False,False
PRJ0098,API Integration - BFSI Client F #98,Neha Kapoor,Comet,Cloud Infrastructure,API Integration,2024-12-14,2025-07-11,2025-04-29,Delayed,Medium,39888.04,49437.54,100.0,Medium,BFSI Client F,9,73,9549.5,23.94,True,True
PRJ0099,Internal Tool - QA & Testing #99,Vikram Malhotra,Nova,QA & Testing,Internal Tool,2024-03-02,2024-09-21,2024-08-21,Delayed,High,44925.47,53106.63,100.0,High,Internal,11,31,8181.159999999996,18.21,True,True
PRJ0100,Web App - Healthcare Client C #100,Meera Krishnan,Orion,Cloud Infrastructure,Web App,2023-10-02,2024-02-19,2024-02-05,Delayed,Critical,193885.86,218173.03,100.0,High,Healthcare Client C,13,14,24287.170000000013,12.53,True,True
PRJ0101,API Integration - Healthcare Client C #101,Vikram Malhotra,Atlas,AI/ML,API Integration,2023-11-07,2024-08-15,2024-07-26,Delayed,High,17614.74,23757.91,100.0,Low,Healthcare Client C,3,20,6143.169999999998,34.88,True,True
PRJ0102,Internal Tool - Healthcare Client C #102,Aditya Verma,Nimbus,QA & Testing,Internal Tool,2023-09-03,2024-02-13,2024-02-21,Completed,Medium,150694.55,147642.12,100.0,Medium,Healthcare Client C,8,0,-3052.429999999993,-2.03,False,False
PRJ0103,API Integration - Govt Client G #103,Rohit Sharma,Zenith,Mobile Apps,API Integration,2023-07-28,2023-11-26,2023-11-29,Completed,High,84163.15,84015.9,100.0,Low,Govt Client G,10,0,-147.25,-0.17,False,False
PRJ0104,Cloud Migration - BFSI Client F #104,Aditya Verma,Nimbus,AI/ML,Cloud Migration,2023-06-06,2023-08-22,2023-08-25,Completed,Low,50323.43,47800.23,100.0,Medium,BFSI Client F,8,0,-2523.199999999997,-5.01,False,False
PRJ0105,Dashboard - Govt Client G #105,Aditya Verma,Zenith,Cloud Infrastructure,Dashboard,2023-06-22,2024-04-08,2024-01-25,Delayed,Low,136500.78,169988.04,100.0,Low,Govt Client G,15,74,33487.26000000001,24.53,True,True
PRJ0106,Mobile App - QA & Testing #106,Meera Krishnan,Falcon,QA & Testing,Mobile App,2025-04-17,2025-10-25,2025-11-04,Completed,Medium,55739.38,49958.46,100.0,Not Assessed,Internal,3,0,-5780.919999999998,-10.37,False,False
PRJ0107,Dashboard - AI/ML #107,Arjun Nair,Zenith,AI/ML,Dashboard,2024-11-06,2025-04-09,2025-04-09,Completed,High,3456.25,2949.37,100.0,Low,Internal,3,0,-506.8800000000001,-14.67,False,False
PRJ0108,Data Pipeline - BFSI Client F #108,Meera Krishnan,Falcon,Cloud Infrastructure,Data Pipeline,2023-04-20,2024-04-03,2024-01-10,Delayed,High,52243.46,65857.19,100.0,Medium,BFSI Client F,4,84,13613.730000000003,26.06,True,True
PRJ0109,Dashboard - BFSI Client F #109,Arjun Nair,Orion,Mobile Apps,Dashboard,2024-08-01,2024-10-31,2024-11-01,Completed,Medium,86726.04,85056.32,100.0,Medium,BFSI Client F,14,0,-1669.7199999999866,-1.93,False,False
PRJ0110,Dashboard - BFSI Client F #110,Divya Pillai,Vega,Engineering,Dashboard,2023-02-27,2023-11-07,2023-09-08,Delayed,High,51496.32,67355.28,100.0,High,BFSI Client F,3,60,15858.96,30.8,True,True
